,confidence,start_second,text
70,0.9370316,410000,OK
71,0.8801955,415000,is that the next time is going to be at meeting in london in march
72,0.9283939,420000,in london in march
73,0.7639273,425000,finalize project OK
74,0.6515395,430000,details
75,0.6133116,435000,mike 2
76,0.8837723,440000,and that's right OK so let me
77,0.8421257,445000,OK so let me be OK with you I'm going to
78,0.9102488,45000,in france with an iphone and I have the host of that meeting I'm in the united states and I'm connected with mac first I'm going to
79,0.8526945,450000,you have a great day
80,0.4494751,455000,repair laptop
81,0.8368908,460000,it don't get meant OK and the document is going to be very easy
82,0.9165909,465000,the document is going to be very easy
83,0.9157305,470000,in agreement
84,0.9382552,475000,regarding this convention center
85,0.8442786,480000,center
86,0.7933053,485000,as you can see it's very simple agreement you have a great and christina
87,0.9013675,490000,agreed and christina
88,0.8940083,495000,christina and alexander will discuss
89,0.8332436,5000,discount senior project to build a convention center on a piece of land owned by municipality the members of the number one
90,0.8313635,50000,meeting I'm in the united states and I'm connected with mac first I'm going to have a problem meeting with the team leader
91,0.8837392,500000,alexander will discuss and resolve any final issues
92,0.9091355,505000,can resolve any final issues before the meeting
93,0.8994331,510000,before the meeting
94,0.8890827,515000,are you OK with this so I'm going to
95,0.8328682,520000,OK so I'm going to have to convert a document into a PDF file into going to send it to you by email OK
96,0.8360402,525000,youtube video file in it going to send it to you by email OK alright I think will done in saint
97,0.853125,530000,right I think will done and thank you very much so will see you all next month in london
98,0.9302294,535000,so will see you all next month in london
99,0.3272237,540000,hey
100,0,545000,
101,0.8408668,55000,probably meeting with the team leader
102,0.8736008,60000,thank you for participating in our online meeting at the team of the municipality
103,0.8001666,65000,you sent to the team of the municipality right so you on the piece of land where there is in a band
104,0.8304278,70000,wait so you on the pizza land at where there is an abandoned airport now second OK now
105,0.7980197,75000,airport now secrett OK now I just wanted to double check with you that you and your
106,0.888496,80000,oh I want just wanted to double check with you that you and your team are ready to discuss this project today
107,0.8820626,85000,not ready to discuss this project today your ready OK so let me bring alexander in OK
108,0.8792177,90000,OK so let me bring and alexander in OK
109,0.6814226,95000,how do you like sender
